fighter,odds,ev,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_SUB_ATT,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,finish_rate,decision_rate,win_rate,avg_SIG_STR_landed,avg_SIG_STR_pct,avg_SUATT
 Jun Yong Park,-138.0,72.4638,1,0,0,,0.522,0.0,0.5,0.25,0,1,2,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,28,0.0,0.0,0.0,,,
AJ Cunningham,410.0,410.0,2,0,0,,,,0.0,0.0,0,2,3,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,135,30,0.0,0.0,0.0,4.22,0.29,0.5
AJ Dobson,124.0,124.0,2,0,0,4.29,0.46,0.3,1.67,0.75,1,2,7,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,31,1.0,0.0,0.3333333333333333,,,
AJ Fletcher,-350.0,28.5714,2,0,0,3.36,0.49,0.9,1.54,0.35,1,2,7,0,0,0,0,1,0,0,1,Switch,177.8,170.18,170,26,1.0,0.0,0.3333333333333333,,,
Aalon Cruz,-190.0,52.6316,0,0,0,9.04,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,198.12,145,30,0.0,0.0,0.0,,,
Aaron Phillips,160.0,160.0,3,0,0,1.51,0.53,0.6,0.86,0.5,0,3,8,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,135,33,0.0,0.0,0.0,,,
Aaron Pico,-156.0,64.1026,0,0,0,,,,8.96,0.66,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,145,28,0.0,0.0,0.0,3.88,0.44,0.0
Aaron Riley,220.0,220.0,1,0,0,36.0,0.369,0.125,1.0,0.284,1,5,17,0,0,0,3,0,0,0,3,Southpaw,172.72,175.26,155,32,0.0,1.0,0.375,,,
Aaron Rosa,-120.0,83.3333,1,0,0,73.0,0.4,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,28,0.0,0.0,0.0,,,
Aaron Simpson,135.0,135.0,0,1,0,42.6,0.55,0.3,3.1,0.391,3,3,26,0,0,1,4,2,0,0,7,Orthodox,182.88,185.42,170,38,0.2857142857142857,0.7142857142857143,0.7,,,
Aaron Wilkinson,-110.0,90.9091,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,183.0,155,23,0.0,0.0,0.0,,,
Abdul Rakhman Yakhyaev,-1600.0,6.25,0,1,0,20.95,0.78,14.3,14.29,1.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,187.96,198.12,205,24,1.0,0.0,1.0,,,
Abdul Razak Alhassan,-300.0,33.3333,2,0,0,3.71,0.47,0.0,0.53,0.28,3,3,11,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,170,35,1.0,0.0,0.5714285714285714,,,
Abdul-Kareem Al-Selwady,-135.0,74.0741,0,1,0,4.14,0.34,0.0,2.32,0.3,1,0,3,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,155,28,0.0,1.0,1.0,,,
Abdul-Kerim Edilov,-670.0,14.9254,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,205,25,0.0,0.0,0.0,,,
Abel Trujillo,115.0,115.0,0,3,0,25.8889,0.377,0.3333,1.4444,0.581,3,3,18,0,0,0,1,3,1,0,6,Orthodox,172.72,177.8,155,33,0.6666666666666666,0.16666666666666666,0.6666666666666666,,,
Abner Lloveras,125.0,125.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,155,33,0.0,0.0,0.0,,,
Abu Azaitar,195.0,195.0,1,0,0,4.38,0.43,0.0,1.0,0.37,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,193.04,185,37,0.0,1.0,0.5,,,
Abubakar Nurmagomedov,-120.0,83.3333,0,2,0,2.78,0.53,0.0,1.25,0.22,2,1,7,0,0,0,2,0,0,0,2,Orthodox,180.34,182.88,170,33,0.0,1.0,0.6666666666666666,,,
Abus Magomedov,172.0,172.0,0,3,0,3.07,0.49,0.4,2.61,0.59,3,2,15,0,0,0,2,1,1,0,4,Orthodox,187.96,198.12,185,35,0.5,0.5,0.6666666666666666,,,
Adam Cella,220.0,220.0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,27,0.0,0.0,0.0,,,
